35,22783,22719,24170,26260,28044,29346,32842,41071,41179,50235,53280,58086,59488,65587,68674,73789,76852,80168
26,21250,20751,22178,24824,25795,27226,31392,38650,39598,47647,52008,57321,58483,63463,68053,71895,74641,78596
41,23021,22101,23861,25973,27001,28561,32922,41003,40524,48871,53068,58162,60264,66415,68960,72882,76429,80484
32,20901,21439,20915,24822,26089,26714,31854,38349,39360,48458,51058,57073,57701,63104,67979,70847,74439,77529
33,21748,22377,23650,26063,27938,29023,33935,40888,40629,50104,52731,59307,59522,65421,68603,73132,77365,80191
28,21480,20200,20827,25261,26842,27601,31285,37971,39942,47234,51042,56613,58258,64403,67708,71931,75297,78742
35,22358,22777,22843,26877,28380,28572,33307,39951,42002,50131,52981,58054,58568,65779,69995,72154,76618,79319
18,20182,21804,21038,24191,26852,28189,32293,38046,40062,48305,51182,56900,58425,64096,67061,71449,73840,78031
42,22409,23497,23989,25987,27475,29099,33021,39922,40653,50233,52587,58064,59242,65828,69199,73384,76493,80176
23,21397,20623,21473,24760,25647,27950,32234,39456,40308,47710,51441,57548,57319,63488,67043,71641,74432,78581
37,23266,22334,24092,27064,27229,28844,34151,40323,41811,48824,53953,57943,59531,65030,69507,73492,76861,79915
30,19999,20395,21407,25577,25810,26450,31304,39303,39017,47060,50547,56414,57040,64012,68165,70941,74994,79006
35,23187,22634,22642,26739,27293,29675,32583,40438,40617,49170,53076,58717,59935,65406,69598,73286,76220,80297
17,20996,21822,21126,25538,25631,27282,31497,39241,38877,48465,52096,56763,57895,64698,66803,71451,74442,77922
41,21999,22594,23750,27293,27565,29933,33775,40976,41878,48690,53995,58598,60169,65502,69124,72175,75979,80092
27,20445,21155,20757,25157,26511,27215,31141,38972,39715,48133,51045,56256,57139,64283,67045,70351,74327,77831
38,22655,23568,23763,27026,28583,29101,32904,40414,41609,49581,53613,58269,59181,66532,68965,73145,75842,80722
23,20261,20970,21858,25096,26589,26942,30699,39008,39349,48141,51206,56125,58499,64040,67311,71213,74645,79057
35,21709,22946,23942,27518,28413,28310,32583,40974,41567,49807,52918,58641,59529,66001,69999,72902,75627,80663
32,20752,20655,20980,25155,26684,27609,32196,38698,39898,46822,50781,56655,57869,63607,67036,71587,75404,77690
36,22846,23236,23004,26898,27534,29523,32928,39886,42061,50347,52849,59103,59194,65703,70152,72044,76856,79229
24,21032,20787,22417,25379,25789,27202,32366,39091,39616,48416,50776,56864,57024,63854,66802,71411,75127,78241
38,22163,22239,23858,26828,27193,28891,32560,40767,41932,49632,53371,59071,58500,65006,69331,73715,76074,79682
18,19960,20718,20898,25785,26181,27960,30835,38109,40293,47345,51165,56193,58051,64534,67397,71393,73866,78907
45,22573,22227,23450,27411,28015,29240,32628,40688,42023,49325,52308,57600,60054,66481,69876,73298,76172,80468
